Timestamp,Region,Source,EnergyProduced(kWh),Temperature,WindSpeed
3/23/2024 6:00,North,Hydro,1836.51,24.1,2
3/24/2024 6:00,South,Wind,1377.56,20.5,17.7
3/25/2024 6:00,West,Solar,1670.33,36.5,5.2
3/26/2024 6:00,East,Hydro,2326.93,27.2,4.4
3/27/2024 6:00,North,Wind,1583.75,25.2,8.3
3/28/2024 6:00,West,Wind,1152.2,23.7,16.8
3/29/2024 6:00,North,Hydro,1393.47,24.8,3.5
3/30/2024 6:00,North,Solar,1897.13,32.8,3.8
3/31/2024 6:00,West,Hydro,2172.92,24.2,1.6
4/1/2024 6:00,West,Hydro,1325.04,21.9,2.2
4/2/2024 6:00,East,Wind,1200.8,26.8,18
4/3/2024 6:00,North,Hydro,1307.31,25.2,4
4/4/2024 6:00,West,Wind,1000.26,20.1,15.3
4/5/2024 6:00,North,Hydro,1569.37,19,0.3
4/6/2024 6:00,East,Wind,973.75,26.8,13.8
4/7/2024 6:00,South,Solar,1215.41,38.7,3.5
4/8/2024 6:00,West,Wind,867.38,23.5,15.2
4/9/2024 6:00,East,Hydro,2367.17,20.3,4.1
